"pattern_a","year_a","pattern_b","year_b","behavioural_distance","median_distance_in_cohort","times_flagged_as_predecessor","years_flagged","signal_strength_verdict"
"card_not_present",2022,"card_present_stolen",2023,"0.915","2.65","2","2023, 2024","🔴 REPEAT DONOR — recurring signal, worth investigating"
"card_not_present",2023,"card_present_stolen",2024,"1.822","2.55","2","2023, 2024","🔴 REPEAT DONOR — recurring signal, worth investigating"
"account_takeover",2022,"friendly_fraud",2023,"1.116","2.08","2","2023, 2024","🔴 REPEAT DONOR — recurring signal, worth investigating"
"account_takeover",2023,"friendly_fraud",2024,"2.460","3.02","2","2023, 2024","🔴 REPEAT DONOR — recurring signal, worth investigating"
"friendly_fraud",2022,"money_laundering",2023,"1.948","3.11","2","2023, 2024","🔴 REPEAT DONOR — recurring signal, worth investigating"
"friendly_fraud",2023,"money_laundering",2024,"1.719","2.55","2","2023, 2024","🔴 REPEAT DONOR — recurring signal, worth investigating"
"card_not_present",2022,"account_takeover",2023,"2.354","3.15","1","2023","🟡 Single-year match — treat as noise until repeated"
"card_present_stolen",2023,"account_takeover",2024,"1.112","1.89","1","2024","🟡 Single-year match — treat as noise until repeated"
"card_present_stolen",2022,"atm_fraud",2023,"2.083","3.52","1","2023","🟡 Single-year match — treat as noise until repeated"
"account_takeover",2023,"atm_fraud",2024,"2.522","3.51","1","2024","🟡 Single-year match — treat as noise until repeated"
"account_takeover",2022,"card_not_present",2023,"1.609","2.67","1","2023","🟡 Single-year match — treat as noise until repeated"
"card_present_stolen",2023,"card_not_present",2024,"0.864","2.03","1","2024","🟡 Single-year match — treat as noise until repeated"
"account_takeover",2022,"identity_theft",2023,"1.913","3.14","1","2023","🟡 Single-year match — treat as noise until repeated"
"atm_fraud",2023,"identity_theft",2024,"1.471","2.49","1","2024","🟡 Single-year match — treat as noise until repeated"
